Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
T1436,2024-12-27,C1436,Female,25,Clothing,5,750,3750
T1437,2024-12-28,C1437,Male,45,Electronics,2,32999,65998
T1438,2024-12-28,C1438,Female,32,Books,7,299,2093
T1439,2024-12-29,C1439,Male,53,Beauty,4,499,1996
T1440,2024-12-29,C1440,Female,38,Home,3,3800,11400
T1441,2024-12-30,C1441,Male,36,Electronics,3,89999,269997
T1442,2024-12-30,C1442,Female,27,Clothing,5,700,3500
T1443,2024-12-31,C1443,Male,48,Sports,4,3000,12000
T1444,2024-12-31,C1444,Female,34,Electronics,2,7499,14998
T1445,2024-12-31,C1445,Male,41,Beauty,5,349,1745
T1446,2024-12-31,C1446,Female,29,Home,3,4500,13500
T1447,2025-01-05,C1447,Male,37,Electronics,2,4999,9998
T1448,2025-01-05,C1448,Female,26,Clothing,4,600,2400
T1449,2025-01-10,C1449,Male,50,Sports,3,2500,7500
T1450,2025-01-15,C1450,Female,35,Electronics,1,8499,8499
T1451,2025-01-20,C1451,Male,43,Beauty,4,299,1196
T1452,2025-01-25,C1452,Female,28,Home,2,3500,7000
T1453,2025-02-05,C1453,Male,39,Electronics,2,13999,27998
T1454,2025-02-10,C1454,Female,33,Clothing,3,750,2250
T1455,2025-02-15,C1455,Male,47,Sports,2,3000,6000
T1456,2025-02-20,C1456,Female,30,Electronics,1,5499,5499
T1457,2025-03-05,C1457,Male,44,Beauty,4,399,1596
T1458,2025-03-10,C1458,Female,27,Home,2,2800,5600
T1459,2025-03-15,C1459,Male,52,Electronics,2,7499,14998
T1460,2025-03-20,C1460,Female,36,Clothing,3,800,2400
T1461,2025-04-05,C1461,Male,38,Sports,2,2200,4400
T1462,2025-04-10,C1462,Female,29,Electronics,1,4299,4299
T1463,2025-04-15,C1463,Male,45,Beauty,4,349,1396
T1464,2025-04-20,C1464,Female,32,Home,2,4000,8000
T1465,2025-05-05,C1465,Male,40,Electronics,2,2499,4998
T1466,2025-05-10,C1466,Female,25,Clothing,3,700,2100
T1467,2025-05-15,C1467,Male,55,Sports,2,3200,6400
T1468,2025-05-20,C1468,Female,37,Electronics,1,61999,61999
T1469,2025-06-05,C1469,Male,42,Beauty,4,299,1196
T1470,2025-06-10,C1470,Female,28,Home,2,1800,3600
T1471,2025-06-15,C1471,Male,49,Electronics,2,4999,9998
T1472,2025-06-20,C1472,Female,34,Clothing,3,650,1950
T1473,2025-07-05,C1473,Male,36,Sports,2,2800,5600
T1474,2025-07-10,C1474,Female,23,Electronics,1,8499,8499
T1475,2025-07-15,C1475,Male,53,Beauty,4,449,1796
T1476,2025-07-20,C1476,Female,39,Home,2,3500,7000
T1477,2025-08-05,C1477,Male,31,Electronics,2,5499,10998
T1478,2025-08-10,C1478,Female,26,Clothing,3,750,2250
T1479,2025-08-15,C1479,Male,44,Sports,2,2500,5000
T1480,2025-08-20,C1480,Female,35,Electronics,1,13999,13999
T1481,2025-09-05,C1481,Male,48,Beauty,4,299,1196
T1482,2025-09-10,C1482,Female,29,Home,2,2200,4400
T1483,2025-09-15,C1483,Male,41,Electronics,2,7499,14998
T1484,2025-09-20,C1484,Female,32,Clothing,3,800,2400
T1485,2025-10-01,C1485,Male,37,Sports,3,3500,10500
T1486,2025-10-05,C1486,Female,27,Electronics,2,4299,8598
T1487,2025-10-10,C1487,Male,50,Beauty,5,399,1995
T1488,2025-10-15,C1488,Female,33,Home,3,4500,13500
T1489,2025-10-20,C1489,Male,43,Electronics,3,2499,7497
T1490,2025-10-25,C1490,Female,28,Clothing,5,900,4500
T1491,2025-10-30,C1491,Male,56,Sports,4,3200,12800
T1492,2025-11-05,C1492,Female,36,Electronics,2,13999,27998
T1493,2025-11-10,C1493,Male,39,Beauty,5,449,2245
T1494,2025-11-15,C1494,Female,24,Home,3,3800,11400
T1495,2025-11-20,C1495,Male,45,Electronics,3,89999,269997
T1496,2025-11-25,C1496,Female,30,Clothing,5,750,3750
T1497,2025-12-01,C1497,Male,42,Sports,4,3000,12000
T1498,2025-12-10,C1498,Female,35,Electronics,2,7499,14998
T1499,2025-12-20,C1499,Male,48,Beauty,4,499,1996
T1500,2025-12-30,C1500,Female,29,Electronics,3,5499,16497
